file,bytes_mb,width,height,megapixels,format,display_width,referenced_by_count,sha256_16,ai_generated,orphan,creator_TODO,source_url_TODO,license_TODO,status
AEC-Architecture/Construction/01_img/BCR.png,0.52,1226,713,0.87,PNG,?,2,0a9b6b9682c48f08,,,,,,unreviewed
AEC-Architecture/Construction/01_img/brighton.jpg,0.51,1280,1280,1.64,JPEG,?,2,b1ee792001a5ee27,,,,,,unreviewed
AEC-Architecture/Construction/01_img/gothic.png,0.51,1536,1024,1.57,PNG,?,2,d0be3608e89a1a97,,,,,,unreviewed
AEC-Architecture/Construction/01_img/florence-cathedral.jpg,0.50,1280,960,1.23,JPEG,?,2,2398ecb62425f8a1,,,,,,unreviewed
AEC-Architecture/Construction/01_img/rococo.jpg,0.48,1280,960,1.23,JPEG,?,2,61ad4fc728c2a24b,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Highlevel.jpg,0.48,1280,950,1.22,JPEG,90%,2,77c41034c950239c,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/data_static_zone.png,0.47,2251,2251,5.07,PNG,100%,2,eff98ff0b3eef833,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan4.png,0.45,1412,690,0.97,PNG,70%,2,23bd6ed36bc29000,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan0.png,0.45,747,386,0.29,PNG,—,0,a0cd018f6c0d1792,,ORPHAN,,,,unreviewed
AEC-Architecture/Construction/01_img/baroque.jpg,0.41,1280,853,1.09,JPEG,?,2,bbb55bd123d6c2ac,,,,,,unreviewed
AEC-Architecture/MEP/101-102_img/102-2-eng.png,0.40,1024,484,0.50,PNG,66%,1,e6a9e95164e621f8,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan1.png,0.39,818,815,0.67,PNG,—,0,a4148bf5660f6044,,ORPHAN,,,,unreviewed
AEC-Architecture/Planning/101-103_img/Corbusier Modulor color..jpg,0.36,908,1000,0.91,JPEG,?,2,4b655405078ae6dd,,,,,,unreviewed
AEC-Architecture/Construction/01_img/the-white-house.jpg,0.36,1280,853,1.09,JPEG,?,2,cec0af744775144e,,,,,,unreviewed
AEC-Architecture/Construction/01_img/greece.jpg,0.35,1280,852,1.09,JPEG,?,2,ec4c8ae27bdc4601,,,,,,unreviewed
AEC-Architecture/Construction/01_img/mass.png,0.35,1536,1024,1.57,PNG,?,2,7484353510011da3,,,,,,unreviewed
AEC-Architecture/Construction/01_img/order.png,0.34,1536,1024,1.57,PNG,?,2,1a6e217f01fe2b21,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/first-floor-plan.jpg,0.33,1415,1000,1.42,JPEG,?,2,2de36f98f9c5e63e,,,,,,unreviewed
AEC-Architecture/Construction/01_img/pantheon.jpg,0.31,1280,853,1.09,JPEG,?,2,3d253dffb474c4f9,,,,,,unreviewed
AEC-Architecture/Construction/01_img/big-ben.jpg,0.30,1280,853,1.09,JPEG,?,2,cc512f582448386b,,,,,,unreviewed
AEC-Architecture/Construction/01_img/zigg-pyr.png,0.28,1536,568,0.87,PNG,?,2,91b0bc918cffec55,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/site-plan.jpg,0.27,1415,1000,1.42,JPEG,?,2,6434bf80968488c5,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/section.jpg,0.26,1415,1000,1.42,JPEG,?,2,fb7692f13205add3,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/sim_open_field.png,0.25,2251,2251,5.07,PNG,100%,2,d2e1fc4a5d7735ab,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/Circulation plan3.png,0.24,1582,1053,1.67,PNG,70%,1,bff34dba678df58d,,,,,,unreviewed
AEC-Architecture/Construction/01_img/ratincross.png,0.23,1536,1024,1.57,PNG,?,2,c45ac1d526e6c98a,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/front-elevation.jpg,0.22,1415,1000,1.42,JPEG,?,2,12fde7d72bf3ace9,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/schedule.png.jpg,0.22,1024,718,0.74,JPEG,?,2,23adc002e75aa766,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/material_concept_compare.png,0.18,1024,559,0.57,JPEG,60%,2,e2c7a6958c7af26e,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/structure_rahmen_iso.png,0.18,2251,2250,5.06,PNG,100%,2,1dc5ab053739135b,,,,,,unreviewed
AEC-Architecture/Construction/01_img/line2.png,0.17,1536,1024,1.57,PNG,?,2,a4928a793bebadb2,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/sim_closed_boundary.png,0.17,2251,2251,5.07,PNG,100%,2,e956309c11797692,,,,,,unreviewed
AEC-Architecture/Construction/01_img/PENDENTIVE.png,0.17,1536,1024,1.57,PNG,?,2,b0f4d50df1723a89,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/detail.jpg,0.15,800,1515,1.21,JPEG,?,2,e80bbe6d2f510026,,,,,,unreviewed
AEC-Architecture/Construction/01_img/basilica.png,0.14,1024,1536,1.57,PNG,?,2,01baac27d7510678,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/structure_wall_iso.png,0.12,2251,2250,5.06,PNG,100%,2,8eeffda808dcc66e,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/bubble.jpg,0.12,1440,1558,2.24,JPEG,?,2,82e9ca9db9245797,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/methodeng.png,0.10,1646,855,1.41,PNG,?,1,59d185f168f81ac5,,,,,,unreviewed
AEC-Architecture/MEP/201_img/vent.jpg,0.08,760,549,0.42,JPEG,?,2,aec3637cdf37d442,,,,,,unreviewed
AEC-Architecture/Planning/201-203_img/02_plan1.png,0.08,423,286,0.12,PNG,70%,1,6f6997001693e3d0,,,,,,unreviewed
AEC-Architecture/MEP/201_img/air system.png,0.06,1119,722,0.81,PNG,?,2,561ab8cd61f6a718,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/department.png,0.06,1137,482,0.55,PNG,?,2,7acd2e85edc8ca0c,,,,,,unreviewed
AEC-Architecture/Construction/301-302_img/method.png,0.05,1522,785,1.19,PNG,?,1,52c50270fc40f94f,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/apartment2.png,0.05,1600,1000,1.60,PNG,?,2,d6a833f3a45e0d11,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/theater.png,0.05,1563,543,0.85,PNG,?,2,316cb95104290871,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/structure.png,0.04,974,555,0.54,PNG,80%,2,69150e67870d5f93,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/ligh3.png,0.04,1000,1000,1.00,PNG,?,2,803c257aee7eb96c,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/apartment.png,0.04,1600,1000,1.60,PNG,?,2,4c5f0866426c9bbe,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/hospital.png,0.03,1184,622,0.74,PNG,?,2,348f9e7afa7f8cd6,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/column_diagram.png,0.03,952,539,0.51,PNG,80%,2,5145766446cebb5c,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/slab_diagram.png,0.03,996,524,0.52,PNG,80%,2,14cac8bc7fe35c52,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/ligh4.png,0.03,1000,1000,1.00,PNG,?,2,172ba250d2750cb0,,,,,,unreviewed
AEC-Architecture/Structure/assets/images/beam_diagram.png,0.03,958,537,0.51,PNG,80%,2,8368fcf0a0978749,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/light2.png,0.03,1000,1000,1.00,PNG,?,2,12322be06e63bcdb,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/ligh5.png,0.03,1000,1000,1.00,PNG,?,2,27b845628fe9f032,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/house.png,0.02,1600,436,0.70,PNG,?,2,70303511feec9535,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/light1.png,0.02,1000,1000,1.00,PNG,?,2,6e33a81c2f880320,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/museum2.png,0.02,1549,553,0.86,PNG,?,2,ccda1b14ec002343,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/factory2.png,0.02,1246,391,0.49,PNG,?,2,dfa5cf5dc898657f,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/museum.png,0.02,1600,665,1.06,PNG,?,2,e7a66983bf5874ff,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/factory.png,0.02,1348,479,0.65,PNG,?,2,c6bab0547be6c75a,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/school.png,0.02,1489,642,0.96,PNG,?,2,6cb3e0a708569edd,,,,,,unreviewed
AEC-Architecture/Planning/101-103_img/office.png,0.01,982,491,0.48,PNG,?,2,f404e1232681a612,,,,,,unreviewed
